what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1396536220282
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1396536220283
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1396536220283
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1396536220284
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1396536220285
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1396536220285
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1396536220286
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1396536220286
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1396536220287
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1396536220287
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1396536220288
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1396536220289
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1396536220289
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1396536220289
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1396536220290
started,bundle,com.cenqua.clover.core,3.0.2.v20100413110000,"com.cenqua.clover.core",1396536220293
started,bundle,com.cenqua.clover.testoptimization,3.0.2.v20100413110000,"com.cenqua.clover.testoptimization",1396536220294
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1396536220297
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1396536220297
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1396536220297
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1396536220298
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1396536220299
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1396536220299
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1396536220300
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1396536220301
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1396536220302
os,sysinfo,,,"win32",1396536220304
arch,sysinfo,,,"x86",1396536220304
ws,sysinfo,,,"win32",1396536220304
locale,sysinfo,,,"en_GB",1396536220304
processors,sysinfo,,,"4",1396536220304
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396536220304
java.runtime.version,sysinfo,,,"1.6.0_07-b06",1396536220304
java.specification.name,sysinfo,,,"Java Platform API Specification",1396536220304
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1396536220304
java.specification.version,sysinfo,,,"1.6",1396536220304
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1396536220304
java.version,sysinfo,,,"1.6.0_07",1396536220304
java.vm.info,sysinfo,,,"mixed mode",1396536220304
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1396536220304
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396536220304
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1396536220304
java.vm.specification.version,sysinfo,,,"1.0",1396536220304
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1396536220304
java.vm.version,sysinfo,,,"10.0-b23",1396536220304
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536254262
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1396536281940
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1396536281951
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1396536281982
